rid,uid,role,feature,benefit,novelty_avg,ustories,stories
246,home occupant,"my smart home to alert me when I get mail inside the mailbox, and how many pieces there are",I can see when I have mail,Entertainment,3.6667,"my smart home to alert me when i get mail inside the mailbox, and how many pieces there are i can see when i have mail entertainment","['alert', 'get', 'mail', 'mailbox', 'many', 'piece', 'see', 'mail', 'entertainment']"
261,home occupant,to lock and open my home when i was not there,it makes our family members to go inside without keys,Safety,3.0,to lock and open my home when i was not there it makes our family members to go inside without keys safety,"['lock', 'open', 'make', 'family', 'member', 'go', 'inside', 'key', 'safety']"
270,family head,system to monitor my parents health,to help them maintain their health,Health,4.0,system to monitor my parents health to help them maintain their health health,"['system', 'monitor', 'parent', 'health', 'help', 'maintain', 'health', 'health']"
246,home occupant,a laptop that opens most used programs every time it is turned on.,I can save time,Entertainment,2.0,a laptop that opens most used programs every time it is turned on. i can save time entertainment,"['laptop', 'open', 'use', 'program', 'time', 'turn', 'save', 'time', 'entertainment']"
270,family member,Need to technology to understand the change in behaviour of my aging parents,to support them mentally and physically,Health,3.5,need to technology to understand the change in behaviour of my aging parents to support them mentally and physically health,"['need', 'technology', 'understand', 'change', 'behaviour', 'age', 'parent', 'support', 'mentally', 'physically', 'health']"
259,party thrower,to have monitored the beverages and foods my guests have the most,I can easily buy more for the next time they come over,Entertainment,4.75,to have monitored the beverages and foods my guests have the most i can easily buy more for the next time they come over entertainment,"['monitor', 'beverage', 'food', 'guest', 'easily', 'buy', 'next', 'time', 'come', 'entertainment']"
261,home occupant,my home to be clean and fragrant when i was not there,it makes feel better when we return from some journey,Entertainment,2.3333,my home to be clean and fragrant when i was not there it makes feel better when we return from some journey entertainment,"['clean', 'fragrant', 'make', 'feel', 'well', 'return', 'journey', 'entertainment']"
246,home occupant,a coaster that keeps my beverage cold as if there was ice in it,It can stay cold and I won't waste more water by refilling with ice,Energy,4.3333,a coaster that keeps my beverage cold as if there was ice in it it can stay cold and i won't waste more water by refilling with ice energy,"['coaster', 'keep', 'beverage', 'cold', 'ice', 'stay', 'cold', 'waste', 'water', 'refill', 'ice', 'energy']"
270,parent,"to understand the requirement of my kids, since being at office most of the time, I have less time to spend with them",I can help my wife to groom my kids,Other,4.0,"to understand the requirement of my kids, since being at office most of the time, i have less time to spend with them i can help my wife to groom my kids other","['understand', 'requirement', 'kid', 'office', 'time', 'less', 'time', 'spend', 'help', 'wife', 'groom', 'kid']"
261,home occupant,to keep all my things where it placed previously,it makes room clean,Entertainment,2.3333,to keep all my things where it placed previously it makes room clean entertainment,"['keep', 'thing', 'place', 'previously', 'make', 'room', 'clean', 'entertainment']"
270,parent,"have a closer look at the kids internet surfing , timing, interest",they dont get into wrong sites and get corrupted,Safety,3.0,"have a closer look at the kids internet surfing , timing, interest they dont get into wrong sites and get corrupted safety","['closer', 'look', 'kid', 'internet', 'surf', 'timing', 'interest', 'dont', 'get', 'wrong', 'site', 'get', 'corrupt', 'safety']"
270,husband,to have a monitoring system for my kitchen equipments,it helps my wife to be safe,Safety,2.5,to have a monitoring system for my kitchen equipments it helps my wife to be safe safety,"['monitoring', 'system', 'kitchen', 'equipment', 'help', 'wife', 'safe', 'safety']"
246,home occupant,"a coffeepot that automatically makes coffee at 5AM, adds sugar and cream",I can wake up to a nice cup of coffee,Entertainment,2.6667,"a coffeepot that automatically makes coffee at 5am, adds sugar and cream i can wake up to a nice cup of coffee entertainment","['coffeepot', 'make', 'coffee', 'add', 'sugar', 'cream', 'wake', 'nice', 'cup', 'coffee', 'entertainment']"
259,fitness freak,to have the fridge look up the caloric and nutrition info on remaining foods in the fridge,I can know what to avoid for the day/week,Health,3.6667,to have the fridge look up the caloric and nutrition info on remaining foods in the fridge i can know what to avoid for the day/week health,"['fridge', 'look', 'caloric', 'nutrition', 'info', 'remain', 'food', 'fridge', 'know', 'avoid', 'day/week', 'health']"
270,head of the family,"understand the health of my aging parents, like BP, sugar",I can help them to keep their health properly,Health,3.0,"understand the health of my aging parents, like bp, sugar i can help them to keep their health properly health","['understand', 'health', 'age', 'parent', 'bp', 'sugar', 'help', 'keep', 'health', 'properly', 'health']"
270,head of the family,security system to alert me of unknown people getting into my house at my absence,to safe guard my family members,Safety,3.3333,security system to alert me of unknown people getting into my house at my absence to safe guard my family members safety,"['security', 'system', 'alert', 'unknown', 'people', 'get', 'absence', 'safe', 'guard', 'family', 'member', 'safety']"
273,medical professional,to know if there have been unusual movement patterns in the house that might indicate a trauma,help could be provided as soon as possible,Health,3.0,to know if there have been unusual movement patterns in the house that might indicate a trauma help could be provided as soon as possible health,"['know', 'unusual', 'movement', 'pattern', 'indicate', 'trauma', 'help', 'provide', 'soon', 'possible', 'health']"
259,movie watcher,to remotely set up playlist of movies to watch on TV when we get home,we can just sit down and relax together with little effort,Entertainment,3.3333,to remotely set up playlist of movies to watch on tv when we get home we can just sit down and relax together with little effort entertainment,"['remotely', 'set', 'playlist', 'movie', 'watch', 'tv', 'get', 'sit', 'relax', 'together', 'little', 'effort', 'entertainment']"
270,parent,understand the entertainment activity of my kids,I can get them the best that is required,Entertainment,4.0,understand the entertainment activity of my kids i can get them the best that is required entertainment,"['understand', 'entertainment', 'activity', 'kid', 'get', 'best', 'require', 'entertainment']"
273,home occupant,media devices in the house to be incorporated into a single ecosystem,"I could be on top of news, events and entertainment all the time",Entertainment,4.0,"media devices in the house to be incorporated into a single ecosystem i could be on top of news, events and entertainment all the time entertainment","['medium', 'device', 'incorporate', 'single', 'ecosystem', 'top', 'news', 'event', 'entertainment', 'time', 'entertainment']"
270,parent,understand the mood swings of my kids,I can help them focus on their studies and good health,Health,4.3333,understand the mood swings of my kids i can help them focus on their studies and good health health,"['understand', 'mood', 'swing', 'kid', 'help', 'focus', 'study', 'good', 'health', 'health']"
271,"healthy person,","a home that monitors my gym membership activity and reminds me to work out,",I can stay motivated to work out.,Health,3.0,"a home that monitors my gym membership activity and reminds me to work out, i can stay motivated to work out. health","['monitor', 'gym', 'membership', 'activity', 'reminds', 'work', 'stay', 'motivate', 'work', 'health']"
274,home occupant,My Smart Home to notify when I need to buy favorite foods ,I may purchase the before I run out.,Health,3.5,my smart home to notify when i need to buy favorite foods  i may purchase the before i run out. health,"['notify', 'need', 'buy', 'favorite', 'food', 'purchase', 'run', 'health']"
259,home occupant,a monitor for the front door,I don't have to get up for those annoying witnesses or charity drives,Other,4.0,a monitor for the front door i don't have to get up for those annoying witnesses or charity drives other,"['monitor', 'front', 'door', 'get', 'annoy', 'witness', 'charity', 'drive']"
270,head of the family,"my electronic items to be periodically noted, as it might cause injury to my family members","I can change it or service it at appropriate time, make things for safety",Safety,2.3333,"my electronic items to be periodically noted, as it might cause injury to my family members i can change it or service it at appropriate time, make things for safety safety","['electronic', 'item', 'periodically', 'note', 'cause', 'injury', 'family', 'member', 'change', 'service', 'appropriate', 'time', 'make', 'thing', 'safety', 'safety']"
273,equipment serviceman,house equipment to automatically report malfunctions,repairs could be delivered quickly,Other,4.0,house equipment to automatically report malfunctions repairs could be delivered quickly other,"['equipment', 'report', 'malfunction', 'repair', 'deliver', 'quickly']"
273,home occupant,"lights in the house to adjust to specific presets based on the time of day, outside illumination and activities taking place inside the house",I could conserve energy,Energy,4.3333,"lights in the house to adjust to specific presets based on the time of day, outside illumination and activities taking place inside the house i could conserve energy energy","['light', 'adjust', 'specific', 'presets', 'base', 'time', 'day', 'outside', 'illumination', 'activity', 'take', 'place', 'inside', 'conserve', 'energy', 'energy']"
274,home occupant,My Smart Home to turn on/offlights at selected time,it may appear I am home.,Safety,2.6667,my smart home to turn on/offlights at selected time it may appear i am home. safety,"['turn', 'on/offlights', 'select', 'time', 'appear', 'safety']"
271,parent,"childrends bedroom that automatically plays and doesn't play soothing music depending on if child is or isn't asleep,",my child will fall asleep easier.,Health,3.5,"childrends bedroom that automatically plays and doesn't play soothing music depending on if child is or isn't asleep, my child will fall asleep easier. health","['childrends', 'bedroom', 'play', 'play', 'soothe', 'music', 'depend', 'child', 'asleep', 'child', 'fall', 'asleep', 'easy', 'health']"
259,home occupant,my medicine cabinet to show me which medicines and drugs should not be taken together or may have expired,I don't risk unwanted side effects or health complications,Health,4.3333,my medicine cabinet to show me which medicines and drugs should not be taken together or may have expired i don't risk unwanted side effects or health complications health,"['medicine', 'cabinet', 'show', 'medicine', 'drug', 'take', 'together', 'expire', 'risk', 'unwanted', 'side', 'effect', 'health', 'complication', 'health']"
273,home occupant,to be able to call the police by voice command,I could call help when i can't reach other means of communication,Safety,2.6667,to be able to call the police by voice command i could call help when i can't reach other means of communication safety,"['able', 'call', 'police', 'voice', 'command', 'call', 'help', 'reach', 'mean', 'communication', 'safety']"
271,"tv fanatic,","house that records my favorite tv shows for me if I am not sitting on the couch,",I don't have to remember to schedule a recording.,Entertainment,3.0,"house that records my favorite tv shows for me if i am not sitting on the couch, i don't have to remember to schedule a recording. entertainment","['record', 'favorite', 'tv', 'show', 'sit', 'couch', 'remember', 'schedule', 'record', 'entertainment']"
271,home occupant,"a toilet that will use less or more water depending on if I go number 1 or number 2,",I can have a lower water bill.,Energy,3.5,"a toilet that will use less or more water depending on if i go number 1 or number 2, i can have a lower water bill. energy","['toilet', 'use', 'less', 'water', 'depend', 'go', 'number', 'number', 'low', 'water', 'bill', 'energy']"
273,home occupant,miniature robots to periodically vacuum the house,the house always stays clean and hypo-allergic,Health,4.5,miniature robots to periodically vacuum the house the house always stays clean and hypo-allergic health,"['miniature', 'robot', 'periodically', 'vacuum', 'always', 'stay', 'clean', 'hypo-allergic', 'health']"
273,home occupant,the home to dynamically adjust temperature of the ac system depending on occupants' presence in certain areas,the air temperature and humidity are always comfortable within the house,Energy,4.0,the home to dynamically adjust temperature of the ac system depending on occupants' presence in certain areas the air temperature and humidity are always comfortable within the house energy,"['dynamically', 'adjust', 'temperature', 'ac', 'system', 'depend', 'occupant', 'presence', 'certain', 'area', 'air', 'temperature', 'humidity', 'always', 'comfortable', 'energy']"
274,home occupant,my TV/audio system to play my favorite news programs in various media ,at desiginated times so I can stay informed & remember it in various ways.,Entertainment,3.3333,my tv/audio system to play my favorite news programs in various media  at desiginated times so i can stay informed & remember it in various ways. entertainment,"['tv/audio', 'system', 'play', 'favorite', 'news', 'program', 'various', 'medium', 'desiginated', 'time', 'stay', 'inform', 'remember', 'various', 'way', 'entertainment']"
273,home occupant,the windows in the kitchen have a transparent display for news and outside temperature,I could get an update on news and weather in the morning,Entertainment,4.0,the windows in the kitchen have a transparent display for news and outside temperature i could get an update on news and weather in the morning entertainment,"['window', 'kitchen', 'transparent', 'display', 'news', 'temperature', 'get', 'update', 'news', 'weather', 'morning', 'entertainment']"
273,home occupant,the smart home to call the police if there has been trespassing while the owners are not at home,the residence and possessions within it remain safe,Safety,4.3333,the smart home to call the police if there has been trespassing while the owners are not at home the residence and possessions within it remain safe safety,"['call', 'police', 'trespass', 'owner', 'residence', 'possession', 'remain', 'safe', 'safety']"
274,"pet owner, home occupant",feature that will interect with my dog for an hour each day,so that my dog  will be  happy & engaged when I'm away from home.,Other,4.25,feature that will interect with my dog for an hour each day so that my dog  will be  happy & engaged when i'm away from home. other,"['feature', 'interect', 'dog', 'hour', 'day', 'dog', 'happy', 'engage', ""'m"", 'away']"
273,home occupant,the fridge to be able to automatically restock itself based on a pre-programmed schedule,I could always have a full stock of my favorite groceries,Other,3.0,the fridge to be able to automatically restock itself based on a pre-programmed schedule i could always have a full stock of my favorite groceries other,"['fridge', 'able', 'restock', 'base', 'pre-programmed', 'schedule', 'always', 'full', 'stock', 'favorite', 'grocery']"
271,owner of many devices,home that turn off a power outlet when it senses that a plugged in device is fully charged,I don't have to remember to unplug a fully charged device.,Energy,2.3333,home that turn off a power outlet when it senses that a plugged in device is fully charged i don't have to remember to unplug a fully charged device. energy,"['turn', 'power', 'outlet', 'sens', 'plug', 'device', 'fully', 'charge', 'remember', 'unplug', 'fully', 'charge', 'device', 'energy']"
271,music fan,home that will auto cast music to different rooms when I go from one room to another,I can continue to enjoy my music while I move around my home,Entertainment,4.3333,home that will auto cast music to different rooms when i go from one room to another i can continue to enjoy my music while i move around my home entertainment,"['auto', 'cast', 'music', 'different', 'room', 'go', 'room', 'continue', 'enjoy', 'music', 'move', 'entertainment']"
271,home owner,home that will notify me if the stove or oven is on with no one in the home,there will be no fire hazard,Safety,2.6667,home that will notify me if the stove or oven is on with no one in the home there will be no fire hazard safety,"['notify', 'stove', 'oven', 'fire', 'hazard', 'safety']"
274,home occupant,my Smart House to bark loudly at randon times when I'm away,the neighbors/looters think I am inside,Safety,4.3333,my smart house to bark loudly at randon times when i'm away the neighbors/looters think i am inside safety,"['bark', 'loudly', 'randon', 'time', ""'m"", 'away', 'neighbors/looters', 'think', 'safety']"
271,home owner,a mail box that will automatically lock itself after the mail has been deliver,my mail cannot be stolen,Safety,4.0,a mail box that will automatically lock itself after the mail has been deliver my mail cannot be stolen safety,"['mail', 'box', 'lock', 'mail', 'deliver', 'mail', 'steal', 'safety']"
274,home occupant,My Smart Home to update me when asked about my energy consumption,benefit by knowing how I may change my usage.,Energy,3.6667,my smart home to update me when asked about my energy consumption benefit by knowing how i may change my usage. energy,"['update', 'ask', 'energy', 'consumption', 'know', 'change', 'usage', 'energy']"
274,home occupant,my Smart Home to have an excellent taste of music,may dance & be happy at home.,Entertainment,1.5,my smart home to have an excellent taste of music may dance & be happy at home. entertainment,"['excellent', 'taste', 'music', 'dance', 'happy', 'entertainment']"
274,home occupant,my Smart Home to have many accents to talk to me in,"I may benefit from the presence of a Britt, Kiwi, or something just seductive",Other,5.0,"my smart home to have many accents to talk to me in i may benefit from the presence of a britt, kiwi, or something just seductive other","['many', 'accent', 'talk', 'benefit', 'presence', 'britt', 'kiwi', 'something', 'seductive']"
276,pet owner,Alarm me whenever pets leave designated spot.,I know when my pet runs away.,Safety,3.3333,alarm me whenever pets leave designated spot. i know when my pet runs away. safety,"['alarm', 'whenever', 'pet', 'leave', 'designate', 'spot', 'know', 'pet', 'run', 'away', 'safety']"
276,home occupant,to know when there's water running,I can turn off water and save.,Safety,3.3333,to know when there's water running i can turn off water and save. safety,"['know', 'water', 'run', 'turn', 'water', 'save', 'safety']"
276,parent,an alarm system to alert everyone whenever it's time to eat,not inform everyone,Other,4.3333,an alarm system to alert everyone whenever it's time to eat not inform everyone other,"['alarm', 'system', 'everyone', 'whenever', 'time', 'eat', 'inform', 'everyone']"
276,parent,to turn on and off electronics in the house,I can make sure when to conserve energy and make sure everyone goes to sleep on time.,Energy,2.3333,to turn on and off electronics in the house i can make sure when to conserve energy and make sure everyone goes to sleep on time. energy,"['turn', 'electronics', 'make', 'sure', 'conserve', 'energy', 'make', 'sure', 'everyone', 'go', 'sleep', 'time', 'energy']"
276,home occupant,an alarm that will sound my room really loud,I can wake up on time regardless of how I feel,Entertainment,4.5,an alarm that will sound my room really loud i can wake up on time regardless of how i feel entertainment,"['alarm', 'sound', 'room', 'really', 'loud', 'wake', 'time', 'regardless', 'feel', 'entertainment']"
276,parent,a headcount of how many people come and leave the house.,I can keep up with the security in the house manually.,Safety,3.3333,a headcount of how many people come and leave the house. i can keep up with the security in the house manually. safety,"['headcount', 'many', 'people', 'come', 'leave', 'keep', 'security', 'manually', 'safety']"
276,parent,to be notified when someone is somewhere in the house where they don't belong,I can protect certain belongings.,Safety,1.5,to be notified when someone is somewhere in the house where they don't belong i can protect certain belongings. safety,"['notify', 'someone', 'somewhere', 'belong', 'protect', 'certain', 'belonging', 'safety']"
276,home occupant,a energy consumption detector,I can see whoever is using too much energy,Energy,2.5,a energy consumption detector i can see whoever is using too much energy energy,"['energy', 'consumption', 'detector', 'see', 'use', 'much', 'energy', 'energy']"
276,parent,a voice detector for whenever someone screams for cry of help,I can alert the police or authority whenever I'm not at home.,Safety,3.3333,a voice detector for whenever someone screams for cry of help i can alert the police or authority whenever i'm not at home. safety,"['voice', 'detector', 'whenever', 'someone', 'scream', 'cry', 'help', 'alert', 'police', 'authority', 'whenever', ""'m"", 'safety']"
279,tv show lover,my tv to send a notification to my phone to remind me when my favorite show are returning for a new season,i dont miss the first episode,Entertainment,2.6667,my tv to send a notification to my phone to remind me when my favorite show are returning for a new season i dont miss the first episode entertainment,"['tv', 'send', 'notification', 'phone', 'remind', 'favorite', 'show', 'return', 'new', 'season', 'dont', 'miss', 'first', 'episode', 'entertainment']"
279,parent,to know when my fridge is running low on everyday essentials by sending me a message to my phone,i know my family doesn't run out of food that they use daily,Other,4.3333,to know when my fridge is running low on everyday essentials by sending me a message to my phone i know my family doesn't run out of food that they use daily other,"['know', 'fridge', 'run', 'low', 'everyday', 'essential', 'send', 'message', 'phone', 'know', 'family', 'run', 'food', 'use', 'daily']"
279,parent,to know how long my air conditioners been running each day by sending me a message to my phone,i could keep my energy bill in check,Energy,2.6667,to know how long my air conditioners been running each day by sending me a message to my phone i could keep my energy bill in check energy,"['know', 'long', 'air', 'conditioner', 'run', 'day', 'send', 'message', 'phone', 'keep', 'energy', 'bill', 'check', 'energy']"
279,parent,my to be notified when i have scheduled medication to take give the kids or myself when feeling sick,i dont forget to miss a dose and risk not feeling well longer,Health,3.6667,my to be notified when i have scheduled medication to take give the kids or myself when feeling sick i dont forget to miss a dose and risk not feeling well longer health,"['notify', 'schedule', 'medication', 'take', 'give', 'kid', 'feel', 'sick', 'dont', 'forget', 'miss', 'dose', 'risk', 'feel', 'well', 'longer', 'health']"
279,music fan,my music device to notify me when my favorite artist release new music,i could keep up with their latest music and download it,Entertainment,4.0,my music device to notify me when my favorite artist release new music i could keep up with their latest music and download it entertainment,"['music', 'device', 'favorite', 'artist', 'release', 'new', 'music', 'keep', 'late', 'music', 'download', 'entertainment']"
279,parent,my smart home to notify me when my smart phone is full charged,i could remove it and not risk burning out the battery or wasting unnecessary energy ,Energy,2.6667,my smart home to notify me when my smart phone is full charged i could remove it and not risk burning out the battery or wasting unnecessary energy  energy,"['notify', 'phone', 'full', 'charge', 'remove', 'risk', 'burning', 'battery', 'waste', 'unnecessary', 'energy', 'energy']"
279,home occupant,my laundry dryer to notify me when my clothes are dried even when it is still running,so i could remove them and not have to have the dryer running when it is not needed so i could save energy,Energy,2.3333,my laundry dryer to notify me when my clothes are dried even when it is still running so i could remove them and not have to have the dryer running when it is not needed so i could save energy energy,"['laundry', 'dryer', 'notify', 'clothes', 'dry', 'even', 'still', 'run', 'remove', 'dryer', 'run', 'need', 'save', 'energy', 'energy']"
280,home owner,my windows and doors to be locked in accordance with my (or family members) voice 'LOCK' and 'UNLOCK',my home can maintain privacy and safety,Safety,4.5,my windows and doors to be locked in accordance with my (or family members) voice 'lock' and 'unlock' my home can maintain privacy and safety safety,"['window', 'door', 'lock', 'accordance', 'family', 'member', 'voice', ""'lock"", ""'unlock"", 'maintain', 'privacy', 'safety', 'safety']"
279,home occupant,to know how long my shower been running each day while my family and myself use it,i could save water and limit the usage and play my part in helping the environment,Other,4.0,to know how long my shower been running each day while my family and myself use it i could save water and limit the usage and play my part in helping the environment other,"['know', 'long', 'shower', 'run', 'day', 'family', 'use', 'save', 'water', 'limit', 'usage', 'play', 'part', 'help', 'environment']"
280,home owner,a internet radio streaming live broadcasting world wide to play according to my voice,I can enjoy my favorite music and play,Entertainment,2.6667,a internet radio streaming live broadcasting world wide to play according to my voice i can enjoy my favorite music and play entertainment,"['internet', 'radio', 'stream', 'live', 'broadcasting', 'world', 'wide', 'play', 'accord', 'voice', 'enjoy', 'favorite', 'music', 'play', 'entertainment']"
281,home occupant,an automatic shower,it comes on the same time I wake up so I can just walk in,Health,4.0,an automatic shower it comes on the same time i wake up so i can just walk in health,"['shower', 'come', 'time', 'wake', 'walk', 'health']"
281,home occupant,automatic gas fireplace,I don't have to get up from the couch to turn it on,Energy,3.0,automatic gas fireplace i don't have to get up from the couch to turn it on energy,"['gas', 'fireplace', 'get', 'couch', 'turn', 'energy']"
280,health advisor,"to show the food calories, vitamins etc in our family food taken",I am aware of correct nutrition level.,Health,3.3333,"to show the food calories, vitamins etc in our family food taken i am aware of correct nutrition level. health","['show', 'food', 'calorie', 'vitamin', 'etc', 'family', 'food', 'take', 'aware', 'correct', 'nutrition', 'level', 'health']"
281,home occupant,automatic stove,I can turn it on when I am at work,Energy,3.0,automatic stove i can turn it on when i am at work energy,"['stove', 'turn', 'work', 'energy']"
281,home occupant,an automatic clothes washer,"it can start on it's own, on a set schedule",Energy,4.5,"an automatic clothes washer it can start on it's own, on a set schedule energy","['clothes', 'washer', 'start', 'set', 'schedule', 'energy']"
280,pet lover,my pets to be watched over screen and to know the necessary foods available for them,I can keep them healthy,Health,3.0,my pets to be watched over screen and to know the necessary foods available for them i can keep them healthy health,"['pet', 'watch', 'screen', 'know', 'necessary', 'food', 'available', 'keep', 'healthy', 'health']"
281,home occupant,room senors,"the second I walk in the room, the lights and tv can come on and my laptop will boot up without doing anything",Energy,2.5,"room senors the second i walk in the room, the lights and tv can come on and my laptop will boot up without doing anything energy","['room', 'senor', 'second', 'walk', 'room', 'light', 'tv', 'come', 'laptop', 'boot', 'anything', 'energy']"
281,home occupant,automatic lawnmower,it can cut the grass itself without anyone doing it,Other,4.5,automatic lawnmower it can cut the grass itself without anyone doing it other,"['lawnmower', 'cut', 'grass', 'anyone']"
280,social worker,a bike which runs in herbs oil (not petrol/diesel),global-warming should be less and no co2,Energy,3.5,a bike which runs in herbs oil (not petrol/diesel) global-warming should be less and no co2 energy,"['bike', 'run', 'herb', 'oil', 'petrol/diesel', 'global-warming', 'co2', 'energy']"
281,home occupant,automatic toaster,it can cook my toast before I wake up,Other,3.3333,automatic toaster it can cook my toast before i wake up other,"['toaster', 'cook', 'toast', 'wake']"
281,home occupant,automatic toiletseat,"once I walk up to it, the lid opens and when I am finished, the lid shuts and flushes by itself",Health,4.3333,"automatic toiletseat once i walk up to it, the lid opens and when i am finished, the lid shuts and flushes by itself health","['toiletseat', 'walk', 'lid', 'open', 'finish', 'lid', 'shuts', 'flush', 'health']"
280,home occupant,my dirty clothes clean without water and detergent powder,water can be saved,Other,4.0,my dirty clothes clean without water and detergent powder water can be saved other,"['dirty', 'clothes', 'clean', 'water', 'detergent', 'powder', 'water', 'save']"
281,home occupant,automatic meat dicer,I don't have to cut the meat and do a lot of work in the kitchen,Other,4.0,automatic meat dicer i don't have to cut the meat and do a lot of work in the kitchen other,"['meat', 'dicer', 'cut', 'meat', 'lot', 'work', 'kitchen']"
281,home occupant,an automatic trash can,"once it's full, it will alert me and will tie the bag shut by itself",Other,4.6667,"an automatic trash can once it's full, it will alert me and will tie the bag shut by itself other","['trash', 'full', 'alert', 'tie', 'bag', 'shut']"
280,home occupant,"my children away from water, pit, pesticide and other poisonous things",I am aware of  my children safety,Safety,3.6667,"my children away from water, pit, pesticide and other poisonous things i am aware of  my children safety safety","['child', 'away', 'water', 'pit', 'pesticide', 'poisonous', 'thing', 'aware', 'child', 'safety', 'safety']"
280,home owner,my house lights and lamps got lighted from solar energy only without electricity,electricity can be saved,Energy,2.75,my house lights and lamps got lighted from solar energy only without electricity electricity can be saved energy,"['light', 'lamp', 'get', 'light', 'solar', 'energy', 'electricity', 'electricity', 'save', 'energy']"
280,home owner,an object replaced by Fans to be produced (breezing ) cool natural fresh air,I can save electricity and to be healthy,Health,3.0,an object replaced by fans to be produced (breezing ) cool natural fresh air i can save electricity and to be healthy health,"['object', 'replace', 'fan', 'produce', 'breezing', 'cool', 'natural', 'fresh', 'air', 'save', 'electricity', 'healthy', 'health']"
280,home owner,"a mirror that shows weather reports, daily to-do listings, reminders etc using Glass technology","I am aware of my daily programs, forecast etc.",Entertainment,3.6667,"a mirror that shows weather reports, daily to-do listings, reminders etc using glass technology i am aware of my daily programs, forecast etc. entertainment","['mirror', 'show', 'weather', 'report', 'daily', 'to-do', 'listing', 'reminder', 'etc', 'use', 'glass', 'technology', 'aware', 'daily', 'program', 'forecast', 'etc', 'entertainment']"
284,home occupant,voice-activated lights,I can turn on and off the lights wherever I am in the room.,Energy,2.0,voice-activated lights i can turn on and off the lights wherever i am in the room. energy,"['voice-activated', 'light', 'turn', 'light', 'wherever', 'room', 'energy']"
284,parent,an alarm to go off whenever someone who is under a certain height goes out of the house,my children will be secure.,Safety,4.6667,an alarm to go off whenever someone who is under a certain height goes out of the house my children will be secure. safety,"['alarm', 'go', 'whenever', 'someone', 'certain', 'height', 'go', 'child', 'secure', 'safety']"
284,home occupant,an automatic pet feeder,I won't have to take note of the time my pet last ate.,Other,3.3333,an automatic pet feeder i won't have to take note of the time my pet last ate. other,"['pet', 'feeder', 'take', 'note', 'time', 'pet', 'last', 'ate']"
284,home occupant,"to have changing ambiance ""scenes""",we will automatically have different themes for different events or parties.,Entertainment,4.3333,"to have changing ambiance ""scenes"" we will automatically have different themes for different events or parties. entertainment","['change', 'ambiance', 'scene', 'different', 'theme', 'different', 'event', 'party', 'entertainment']"
284,parent,automatic security gates on staircases,it will automatically put up security measures when my child comes within a few feet from the stairs.,Safety,5.0,automatic security gates on staircases it will automatically put up security measures when my child comes within a few feet from the stairs. safety,"['security', 'gate', 'staircase', 'put', 'security', 'measure', 'child', 'come', 'foot', 'stair', 'safety']"
284,home occupant,an automatic solar panel,it will automatically switch all electrical consumption to solar and store energy during the day.,Energy,3.6667,an automatic solar panel it will automatically switch all electrical consumption to solar and store energy during the day. energy,"['solar', 'panel', 'switch', 'electrical', 'consumption', 'solar', 'store', 'energy', 'day', 'energy']"
284,home occupant,an automatic air conditioner that would detect when I am nearly home and automatically turn on,the house is already comfortably warm or cool when I enter it.,Other,3.3333,an automatic air conditioner that would detect when i am nearly home and automatically turn on the house is already comfortably warm or cool when i enter it. other,"['air', 'conditioner', 'detect', 'nearly', 'turn', 'already', 'comfortably', 'warm', 'cool', 'enter']"
284,home occupant,a security camera and a siren which can be remotely monitored,it would be good for chasing thieves away.,Safety,2.0,a security camera and a siren which can be remotely monitored it would be good for chasing thieves away. safety,"['security', 'camera', 'siren', 'remotely', 'monitor', 'good', 'chase', 'thief', 'away', 'safety']"
284,home occupant,"a device that can be tagged to keys, pets, phones, etc.","if they are missing, I will be immediately informed and be able to locate them.",Other,3.0,"a device that can be tagged to keys, pets, phones, etc. if they are missing, i will be immediately informed and be able to locate them. other","['device', 'tag', 'key', 'pet', 'phone', 'miss', 'immediately', 'inform', 'able', 'locate']"
284,home occupant,my appliances to send an alert when it needs cleaning or repair,it will be immediately notified and have it repaired.,Energy,4.0,my appliances to send an alert when it needs cleaning or repair it will be immediately notified and have it repaired. energy,"['appliance', 'send', 'alert', 'need', 'cleaning', 'repair', 'immediately', 'notify', 'repair', 'energy']"
287,movie lover,my tv to tell me when new movie releases in my geners are released,i can keep up with new movies,Entertainment,5.0,my tv to tell me when new movie releases in my geners are released i can keep up with new movies entertainment,"['tv', 'tell', 'new', 'movie', 'release', 'geners', 'release', 'keep', 'new', 'movie', 'entertainment']"
290,home owner,all the lights in every room to turn off at 11pm,we don't waste electricity and can sleep in peace,Energy,2.3333,all the lights in every room to turn off at 11pm we don't waste electricity and can sleep in peace energy,"['light', 'room', 'turn', 'waste', 'electricity', 'sleep', 'peace', 'energy']"
293,home occupant,windows that open with smartphone,so that i dont have to do it manually.,Other,4.0,windows that open with smartphone so that i dont have to do it manually. other,"['window', 'open', 'smartphone', 'dont', 'manually']"
287,home occupant,sensors around house to tell me when someone gets within 10 ft of house,i can keep my family safe,Safety,4.0,sensors around house to tell me when someone gets within 10 ft of house i can keep my family safe safety,"['sensor', 'tell', 'someone', 'get', 'ft', 'keep', 'family', 'safe', 'safety']"
293,home occupant,something that automatically vaccums,so i dont have to do it manually.,Safety,3.3333,something that automatically vaccums so i dont have to do it manually. safety,"['something', 'vaccums', 'dont', 'manually', 'safety']"
