rid,uid,role,feature,benefit,novelty_avg
1433,230,tv watcher,separate TVs controlled for individuals in the house,programs can be recorded and reviewd in multiple locations,Entertainment,2.2500
1434,227,home owner,A trash can thay absorbs all the foul smell,I do not have to worry about guest or family complaining about the trash can,Health,2.3333
1435,230,spouse,message monitors,I can send notes to monitors in the house remotely,Entertainment,3.0000
1436,227,parent,A gaming console that will only operate under parents commands,"My kids will do whats important first, before playing",Entertainment,3.0000
1437,230,home owner,external mositure landscape monitors,I can program watering based upon moisture content,Energy,3.5000
1438,228,sports fan,to be able to know the scores of each game,I can be up to date with what's happening,Entertainment,2.0000
1439,230,home owner,multiple heating/cooling zones,I can heat only what I need to use,Health,4.5000
1440,228,home owner,a self cleaning bathroom and kitchen,I can spend more time working instead of cleaning,Other,3.6667
1441,230,music lover,multiple music zones,each family member can choose there own music,Entertainment,3.0000
1442,228,home owner,wifi sensors for outlets,so I can turn off items that Im not using,Safety,3.0000
1443,227,parent,A vacuum that will tell me when the floors are 100 percent clean,"I dont have to worry about my kids crawling, rolling on the floors",Health,3.3333
1444,228,someone who works from home,a system that tells me how many hours I'm working and per hour rate,I can know how efficient Im being,Other,3.0000
1445,228,home owner,smart locks on all doors,I can protect my home for who is coming in and out,Safety,3.6667
1446,235,home owner,"fire sensors to be linked to the fire suppression system, to be activated when a fire occurs",i can protect my property,Safety,2.6667
1448,235,television viewer,the TV to detect weather alerts and automatically turn on the TV and turn to the weather channel,I can be aware of emergency weather conditions,Safety,4.0000
1449,235,stock trader,"on stock alert levels, displays to be activated showing current market activity regarding the specific stock",I can get immediate information on a specific stock,Other,2.6667
1450,235,energy consumer,lights to be activated and de-activated as I enter and leave a room,I can save energy,Energy,3.0000
1451,235,television viewer,"displays to be activated and deactivated as I move rooms, showing the channel I'm currently viewing",I can continue to watch TV as I move through rooms,Entertainment,4.3333
1452,235,home owner,the alarm system to automatically activate after all registered people in the home have left,I can secure the household,Safety,3.3333
1453,237,home owner,a smart garage door opener,when i pull up on my motorcycle it senses the bike and opens the door automatically without me having to get off the bike,Other,3.0000
1454,235,living person,medical sensors to detect when a life threatening medical even occurs (heart attack) and notify emergency services,I can survive a life threatening event if I am unable to call for assistance,Safety,3.6667
1455,237,home owner,smart doggie door,"when my dog approaches it, the collar is sensed and allows him entry but locks afterward",Safety,4.2500
1456,235,energy consumer,heat and air conditioning to activate and de-activate as I move from one room to another,I can save energy,Energy,3.6667
1457,237,home owner,a smart shower which signals when i pre programmed temperature is reached,i dont burn myself or walk into a cold shower or waste water,Energy,3.0000
1458,237,home owner,smart radiant floor heating,as i walk into a room only that rooms floor heating is engaged,Energy,2.5000
1459,237,home owner,smart water sprinklers,they only turn on when they sense that there has been a shortage in natural water fall,Other,3.6667
1460,235,home owner,sensors to detect a break-in and automatically close and lock the doors of the room containing intruder,I have time to take emergency action when a break-in occurs,Safety,4.0000
1461,237,home owner,a smart mailbox,i receive smart phone notifications when mail is placed in my box,Other,4.0000
1462,237,home owner,a smart desktop and monitor ,when i enter the room the computer automatically wakes and turns the monitor on and when i leave for an extended time automatically puts the computer into sleep mode and turns the monitors off,Entertainment,2.6667
1463,237,home owner,smart locks,like a car key fob doors lock and unlock depending on the proximity of the key i keep on my person,Safety,4.0000
1464,237,home owner,biometric controls on locks,"i have greater security for my home and convenience, i can never be locked out again",Safety,4.3333
1465,237,home owner,smart vacation lighting,when i am away the house knows my typical lighting habits and continues those while im away to keep would be intruders deterred,Safety,3.3333
1466,239,home occupant,outlet timers,I could turn on certain light decorations at night and have them turn off in the morning.,Entertainment,2.0000
1467,239,home owner,humidity sensors ,my humidifiers function more accurately in the basement.,Energy,4.2500
1468,239,home occupant,music sensors,I can play music on the house surround in any room by stating a request.,Entertainment,3.3333
1469,239,home occupant,thermometer that's aware of the daylight,"it lowers the temperature in the house when sunny out, or raises it when it gets dark.",Energy,2.6667
1470,239,home occupant,motion activated alert system,I am aware whenever anyone is at my doors.,Safety,3.5000
1471,239,home owner,water amount alerter,I am aware of how much water I am using at a time.,Energy,4.0000
1472,239,home owner,remote access to fire alarms,I am aware if my fire alarms go off while I am not at home.,Safety,3.0000
1473,239,pet owner,remote light access,I can turn my lights on or off for my cats when I am not at home if it gets dark or daylight.,Energy,2.6667
1475,239,home owner,remote access to outlets,I can turn them off to avoid energy vampires.,Energy,3.6000
1476,240,home owner,"The sprinkler system to not only be timed, but to only go off depending on saturation.",water can be conserved.,Other,4.5000
1478,247,home occupant,Heat in each room I am in to be set at 70 degrees.,I am comfortable at all times.,Energy,2.6667
1479,242,gadget enthusiast,"a unit that will control the lights, sounds, temperature and entertainment devices in the house",I can easily control everything in the house,Entertainment,2.7500
1480,254,home owner,to recieve a text message at any point during the day when my electricity and water usage exceeds an acceptable level,my utility bill isn't unpredictable or greater than i'm willing to pay ,Energy,2.3333
1483,247,home owner,my water heater to turn on at 3 am monday through friday,Have hot water ready for my morning shower at 330am,Energy,4.3333
1484,252,home occupant,"my TV to be able to judge my mood that day and be able to play what will interest me most,",I will be able to relax easier at the end of the day.,Entertainment,3.3333
1485,256,home occupant,my windows to be open whenever the weather is temperate (between 60 and 75 degrees F),I can automatically breathe fresh air when it wouldn't be extremely costly to do so,Health,3.6667
1486,258,smart home owner,the option to unlock the front door from an app or remote when visitor has been verified from an auditory system.,I do not have to walk to the door to let in a welcomed guest,Safety,4.0000
1487,241,parent,"my kids monitoring system, during nights, to check weather they have a sound sleep",it helps me to understand their mental and physical health.,Health,3.0000
1488,242,health nut,something in the kitchen to track my weight and calorie intake,I can keep in shape,Health,4.0000
1489,252,home occupant,an oven that will learn when I am home from work and turn itself on to warm my dinner,I will not have to worry about it aftera long day.,Other,4.0000
1490,247,home occupant,"Alarm clock to turn the light lights on, slowly increasing the amount of light",Am woken up slowly,Health,4.0000
1491,240,home occupant,the speaker system to detect different moods to change music accordingly (if playing).,I can enjoy the right music at the right time.,Entertainment,4.6667
1493,241,parent,kitchen safety system to get automatically on after 10:00 PM,my kids as well my total family is safe during nights.,Safety,3.3333
1494,242,home occupant,sensors on the doors and windows,we know when someone is entering the house,Safety,2.7500
1495,256,pet owner,my smart home to open the back door whenever it detects my dog's presence for longer than 3 minutes,my dog is able to relieve itself outside without a long waiting period. ,Health,3.6667
1496,262,home owner,Smart receptacles that stop the flow of current to plugged in items when not in use,electricity is saved as well as money,Energy,4.0000
1497,247,home occupant,The outside lights to come one when I arrive in the parking lot.,I have the added security when i arrive home.,Safety,2.6667
1498,241,parent,doors and windows to be shut after 10:00 Pm at night,we are safe at home from theft,Safety,3.2500
1499,254,old movie lover,to recieve text notification of new movies that match my viewing criteria are added to an online library,I can stream the movie at home,Entertainment,2.5000
1500,252,home occupant,a washer/dryer combo that will be controlled by my phone or mobile device to do my laundry at set times,I won't have to worry about it.,Other,4.5000
1501,240,pet owner,a door that will allow my pets to go out or in by recognition.,it will prevent other unwanted guests from entering.,Safety,3.6667
1503,262,home owner,a sensor to tell me when and what my lawn needs to be healthy,I always have a nice lawn,Other,4.0000
1504,247,home owner,all power usage to be turned down when no one is home.,the wasteful use of energy ,Energy,4.3333
1505,258,pet owner,"a SMART Home option that will allow my pet to walk to the door, bark, and a dog door raises to let them out",it will keep unwanted animals from aimlessly wandering into your house.,Health,4.0000
1506,252,parent,"a crib that will sense any disturbances in my baby's sleep, including crying or needing a diaper change",I will know my baby is resting comfortably.,Safety,3.3333
1507,240,home owner,a shower that will adjust the water temperature automatically to preferred temperatures.,"depending on the room's temperature, the water will be just right.",Other,2.5000
1508,262,home owner,to be alerted to any intruders to my property,I can be safe in my home,Safety,3.0000
1509,246,home occupant,"blinds that are powered by the sun, that open when it is sunny, and close when it's dark",I can save electricity from constantly keeping the light on,Energy,3.5000
1510,241,home occupant,my system to make sure the overhead tank is not empty,we are not bothered about the water level ,Other,3.0000
1511,254,health enthusiast,have a voice feature connected to my surround sound system at home that reminds me to exercise ,i stay on track with my fitness goals ,Health,2.8333
1513,247,home occupant,to be able to view all my homes systems from my smart phone,I can adjust these setting from anywhere.,Energy,3.0000
1514,256,nanny,my smart home to close off certain regions of the home while watching children by automatically moving sliding doors,the children will remain safe and contained while playing within one area of the home. ,Safety,4.0000
1515,242,gamer,smart box to manage internet cabling,I can change how the internet is wired in the house,Entertainment,4.3333
1516,259,home gardener,"my smart home to sense when the soil in the front and back yards are are dry,",it can turn on and off the watering system according to specified seasons and temps to save water and energy.,Energy,4.7500
1517,262,home owner,to be able to monitor my home while away,I can check that things are okay,Safety,1.6667
1518,252,home occupant,a feature that will scan my toothbrush and remind me when to replace it,I won't forget.,Health,4.0000
1519,240,parent,Cameras with recognition,any unrecognizable guest appearance will have a photo sent to my phone and/or email.,Safety,4.0000
1520,241,parent,understand the calories of food taken by my kids,it helps me understand their requirement and as well check with their health.,Health,3.6667
1521,258,smart home owner,the option to activate the opening and closing of window curtains by using a remote or smart phone application,during the day the blinds can be open and closed when necessary without having to manually open and close them.,Other,2.7500
1522,254,busy homeowner,to recieve text alerts if i leave my garage door open after leaving,I dont leave my garage door open unknowingly,Safety,3.3333
1523,251,health conscious person,My medicine pill holder to notify me about the pill that are going to expire,So that I can replace the old one and purchase new one.,Health,3.5000
1524,242,aunt,safety outlets,to prevent my nieces and nephews from getting shocked,Safety,1.0000
1525,262,home owner,I want a device that regulates the water flow of faucets and toilets,I can save water,Energy,3.0000
1526,263,gardener,"my water sprinklers to automatically water the plants at home,",the moisture in the plants is well maintained all the time.,Other,2.6667
1527,256,home occupant,my smart home to play a specific playlist or genre of music when I verbally tell my sound system what mood I am in,I can enjoy mood appropriate music throughout the house. ,Entertainment,3.0000
1528,264,home occupant,Smart sender bell,When I came to home the door identify my finger print,Safety,4.0000
1529,247,home occupant,"electric blanket to be turned one 30 min before I go to bed,",it is warm when I get into bed.,Health,3.2500
1530,241,parent,"monitoring system for my television, about which channel are preferred by my kids",to understand the interest of my kids,Other,3.6667
1531,252,home occupant,"my smart home to learn when I am not around and to turn off unnecessary items like TVs, coffeemaker, radio, etc.",it will save me on electricity,Energy,4.3333
1532,251,health conscious person,My medicine pill holder to notify me that new pills need to be purchased.,So that I can purchase new pills.,Health,3.6667
1533,262,home owner,a device that can protect my airspace from drones,I can feel safe in my privacy,Safety,5.0000
1535,256,home occupant,my smart home to turn on fans automatically when stagnant air is detected ,I can experience proper air flow and reduce discomfort. ,Health,4.0000
1536,254,cold natured person,to have my heat turn itself on if the temperature outside dips below a certain level,when i come home its warm,Other,3.0000
1537,252,parent,a sensor in my children's play area that will sound an alarm if someone is hurt,I may rest easy knowing that my children are safe.,Safety,4.0000
1538,242,energy conscious occupant,smart thermostat,the temperatures in each room stay regulated at all times,Energy,2.6667
1539,247,home occupant,"my child TV to automatically turn off a set time, ",so they don't watch too much TV.,Health,2.0000
1540,262,home owner,a roof made of solar panels that functions as a roof and an energy source,I can save electricity and money,Energy,3.2500
1541,240,home owner,a smart detector for lethal gases or smoke to go to my email and/or phone,even when I am not around I will be notified immediately.,Safety,3.2500
1542,241,wife,database of my husband's blood sugar and pressure ,i can help him keep his health appropiately,Health,2.5000
1543,264,parent,Smart camera gps,I can seen where my child is,Safety,2.3333
1544,263,home occupant,"a speaker at the door that asks a person to name himself before he rings the door bell,",I don't need to always see through the peephole,Safety,3.6667
1545,242,home occupant,remote smoke detectors,we will be alerted if they are triggered,Safety,1.3333
1546,259,home occupant,the temperature to be adjusted in individual rooms,I don't have to wait to heat or cool the whole house and waste time and money when there is only a few people inside.,Energy,3.3333
1547,256,home occupant,my smart home to alert me when a single electronic device or source is requiring a significant amount of electricity ,I can reduce or eliminate unnecessary electric bill costs and save energy,Energy,4.0000
1548,252,pet owner,a sensor that will sound an alarm if my dog escapes through the fenced backyard or something happens to hurt my pet,I will be confident they are safe outside.,Safety,4.5000
1551,251,home occupant,"My door cam needs to notify me when this is unusual activity outside, example more than 3-4 person approaching the house",so that I am vigilant about any dangers.,Safety,3.5000
1552,241,home maker,the temperature of the house to be maintained and as well inform on the temperature outside,my family people health is kept at control,Health,1.7500
1553,262,home owner,a device that keeps track of maintenance issues around the house,"I know when I may need to replace things such as water heater, roof ",Other,4.2500
1554,251,home occupant,My fish tank needs to monitor and notify that  ample fish food is present in the tank,So that I can refill the stock.,Entertainment,5.0000
1555,252,home occupant,automatically closing curtains or blinds in areas where I might be changing or bathing,I will know no one is peeking in.,Other,4.0000
1556,242,home occupant,interior motion sensors,if door and window sensors fail we will still be alerted to activity in the home,Safety,4.0000
1557,246,chef,"a stove that has a screen with built in recipes, can add recipes, and automatically preheats and times the food by recipe","I don't have to use a book or laptop, and the stove can program the time and heat itself",Health,4.0000
1559,241,home maker,i want to understand the temperature and blood pressure of my family members,which would help me to understand their mood swings,Health,4.3333
1560,251,home occupant,My fish tank needs to monitor and notify that  if there are any dead fish,"So that i can replace it, and clear the tank. ",Entertainment,4.0000
1561,264,home owner,Paint sensor,So it can notify that my house needs some paint or maintainance,Safety,3.5000
1562,256,home occupant,my smart home to have motion detecting lights in every room to be at full light when I am present and dim after I have left the room ,"I can experience well lit rooms but not have to worry about turning on or off the lights, while being energy efficient. ",Energy,5.0000
1564,240,pet owner,a wall feature that the pet can come to for a video call.,I can see my pet whenever i am out of the house.,Entertainment,4.0000
1566,261,home occupant,my things in home to be safe  and turned off all lights,make safe of all my things on home and live safe,Safety,3.5000
1568,252,parent,my fridge to identify my children by age and height and have a pre-prepared snack ready in a door for hem,I know they are eating the healthiest snacks possible.,Health,4.2500
1569,242,cleaner,auto vacuum,it will keep the floors clean at all times,Health,2.7500
1570,262,home owner,a device that show me deficiencies my home may have in it's efficiency,I can be more energy concious and efficient ,Energy,4.6667
1571,264,home owner,Smart ac,When I came to home according to outside environment it got adjusted automatically,Energy,2.6667
1572,263,parent,a smart computer that changes its setting according to the person who uses it,I don't need to put up parental settings all the time.,Safety,3.3333
1573,258,smart home owner,to have the option to turn on digital electronics from a centralized CPU,I can save time and hassle when looking for remote controllers,Entertainment,4.0000
1574,251,home occupant,"The electric switch should automatically  switch off lights, fans and TV when there is no one at home.",So that I save on electric bills.,Energy,2.5000
1575,256,pet owner,my smart home to allot food to my pets in relationship to their tracked expended energy as determined by their collars and movement,my pets will receive more food appropriately when they have been especially active and will be hungry. ,Health,3.7500
1576,242,pet owner,automated food and water dishes,my dogs will have food and water at all times,Health,3.5000
1577,264,home occupant,Smart tv,That can run with voice,Entertainment,4.0000
1578,254,home owner,to recieve text notification if water continually runs after a certain number of minutes,i don't recieve an excessively high water bill,Energy,2.0000
1579,240,parent,added motion security to the perimeter of the yard,anyone who is approaching will notify me in case they are unwanted,Safety,2.0000
1580,246,home occupant,a voice activated remote for the TV that can change channels using your voice or beep when misplaced,"if it gets lost in the room, you can still use it by saying a channel number or using the locator",Entertainment,2.6667
1581,258,smart home owner,the ability to analyze energy consumption by CPU or smart phone,I can determine which rooms and devices are consuming the most energy.,Energy,3.6667
1582,263,home occupant,"smart tag that I can attach to my car keys,",I don't need to search for them when they are lost.,Entertainment,2.3333
1584,264,home owner,Sensor,When I touch it it can calculate how many people are inside the room,Safety,3.0000
1585,254,home owner,recieve calendar/updates updates speak through my surround sound system,i dont lose track of time and miss appointments,Entertainment,2.6667
1586,256,parent,my smart home to make available premade healthy snack options to my children after school,"my children may readily have food to eat when hungry, but not be able to eat the unhealthy options if not supervised. ",Health,4.0000
1587,263,home occupant,"geyser that automatically adjusts to optimal temperature settings,",I don't need to worry about burning my skin.,Health,2.0000
1588,261,home occupant,to cut off water flow ,water is saved and power consumption,Energy,3.0000
1589,259,home occupant,an automated wake up call to my cell phone,"it can get me up and have the coffee start to brew, temperature adjusted, car started, etc to save time in the morning getting ready for work",Other,2.5000
1590,258,pet owner,"artificial, self cleaning pet area","during long work days, the puppy has a place that can be used like outside and then it is robotically cleaned.",Health,4.6667
1591,246,person trying to eat more healthy,a drawer in the fridge with a setting that makes fruits and veggies stay fresh for longer,I can eat them all before they go bad,Health,4.3333
1592,264,gardener,Smart watering ,If I am outside water plant on some specific time,Energy,4.5000
1593,251,home occupant,My WiFi router to notify me on my smartphone if someone tried to unauthorizedly access it.,so that I am safe from hackers and intruders.,Safety,4.0000
1594,263,car driver,"an auto-eject feature in my car,",I am automatically ejected from the vehicle if something hits it.,Safety,3.0000
1595,258,smart home owner,to have the option to dim tinting on windows using smart tint digital technology,I could do away with blinds and still control light penetration,Energy,4.2500
1597,261,home occupant,my things in home to be safe  and turned off all lights ,make safe of all my things on home and live safe ,Safety,3.6667
1598,264,parent,Smart alert,I can know my child is present in class,Safety,2.3333
1599,254,food lover,to have recipe tutorials viewable through my tv at the time i usually prepare dinner,i can receive instruction to try new meals ,Entertainment,3.0000
1600,263,home occupant,"automatic windows that open up by themselves each morning,",I don't need to open and close them manually everyday.,Entertainment,4.0000
1602,264,home occupant,Feature to notify health issue,I can detect do I need medicine,Health,4.2000
1603,251,home occupant,a device which automatically monitors and sweeps the floor.,so that my floor remains clean,Health,3.0000
1604,259,home occupant,the refrigerator to remind me went we're low on a certain item(s),we can stop and get it on the way home and save trips to the store,Energy,3.0000
1605,258,smart home owner,Food making machine,so that I can use an app and send instructions on a pre-selected list of dishes,Entertainment,3.0000
1606,263,student,automatic recorder that records all my conversations and automatically picks up the thing-to-do,I don't need to keep reminders.,Entertainment,2.6667
1607,246,home occupant,heated shower curtains that keep the steam/heat inside the shower,I'm not cold too quickly when showering,Entertainment,4.1667
1608,264,home owner,Locker,That nobody can open except me,Safety,3.5000
1609,261,home occupant,to watch different channels at same time with time change,watch more channels with more peoples on their choice,Entertainment,3.0000
1610,254,health enthusiast,to recieve voice commands set to tell me how many calories my dinner can consist of,i can meet my daily calorie consumption target,Health,3.6667
1611,258,smart home owner,to have standard automatic floor cleaning,housework can be kept up with minimal effort,Health,5.0000
1613,261,home occupant,to check my food to be healthy and things which we buy is organic,it makes us healthy,Health,3.0000
1614,263,home occupant,a sensor for my house piping system that detects chokes and calls up my plumber,I don't need to worry about the drain choking at home.,Energy,5.0000
1615,258,smart home owner,push to open doors,I can mash a button and have the door open when my hands are full.,Safety,2.0000
1616,251,pet owner,to remind me when the birds needs to be feed,so that they do not starve to death,Health,4.0000
1617,254,home owner,an auto door lock feature to lock my front door if i forget to lock it when leaving home,i can lock my home when i'm not physically there,Safety,4.0000
1618,246,home occupant,a garbage can that permanently masks the smell of garbage by deodorizing,it smells nice,Health,3.3333
1619,259,home occupant,all the doors in the house to be under surveilance if no one is home,if someone breaks in it could send me an alert and have video evidence of an intruder,Safety,2.5000
1620,261,home occupant,to attend my phone which i kept inside home where i was in other place,it makes easy if we miss to take it urgent calls,Other,2.0000
1621,246,home occupant,"my smart home to alert me when I get mail inside the mailbox, and how many pieces there are",I can see when I have mail,Entertainment,3.6667
1623,261,home occupant,to lock and open my home when i was not there,it makes our family members to go inside without keys,Safety,3.0000
1624,270,family head,system to monitor my parents health,to help them maintain their health,Health,4.0000
1625,246,home occupant,a laptop that opens most used programs every time it is turned on.,I can save time,Entertainment,2.0000
1626,270,family member,Need to technology to understand the change in behaviour of my aging parents,to support them mentally and physically,Health,3.5000
1628,259,party thrower,to have monitored the beverages and foods my guests have the most,I can easily buy more for the next time they come over,Entertainment,4.7500
1629,261,home occupant,my home to be clean and fragrant when i was not there,it makes feel better when we return from some journey,Entertainment,2.3333
1630,246,home occupant,a coaster that keeps my beverage cold as if there was ice in it,It can stay cold and I won't waste more water by refilling with ice,Energy,4.3333
1631,270,parent,"to understand the requirement of my kids, since being at office most of the time, I have less time to spend with them",I can help my wife to groom my kids,Other,4.0000
1632,261,home occupant,to keep all my things where it placed previously,it makes room clean,Entertainment,2.3333
1633,270,parent,"have a closer look at the kids internet surfing , timing, interest",they dont get into wrong sites and get corrupted,Safety,3.0000
1634,270,husband,to have a monitoring system for my kitchen equipments,it helps my wife to be safe,Safety,2.5000
1635,246,home occupant,"a coffeepot that automatically makes coffee at 5AM, adds sugar and cream",I can wake up to a nice cup of coffee,Entertainment,2.6667
1636,259,fitness freak,to have the fridge look up the caloric and nutrition info on remaining foods in the fridge,I can know what to avoid for the day/week,Health,3.6667
1637,270,head of the family,"understand the health of my aging parents, like BP, sugar",I can help them to keep their health properly,Health,3.0000
1639,270,head of the family,security system to alert me of unknown people getting into my house at my absence,to safe guard my family members,Safety,3.3333
1640,273,medical professional,to know if there have been unusual movement patterns in the house that might indicate a trauma,help could be provided as soon as possible,Health,3.0000
1642,259,movie watcher,to remotely set up playlist of movies to watch on TV when we get home,we can just sit down and relax together with little effort,Entertainment,3.3333
1644,270,parent,understand the entertainment activity of my kids,I can get them the best that is required,Entertainment,4.0000
1645,273,home occupant,media devices in the house to be incorporated into a single ecosystem,"I could be on top of news, events and entertainment all the time",Entertainment,4.0000
1646,270,parent,understand the mood swings of my kids,I can help them focus on their studies and good health,Health,4.3333
1647,271,"healthy person,","a home that monitors my gym membership activity and reminds me to work out,",I can stay motivated to work out.,Health,3.0000
1648,274,home occupant,My Smart Home to notify when I need to buy favorite foods ,I may purchase the before I run out.,Health,3.5000
1649,259,home occupant,a monitor for the front door,I don't have to get up for those annoying witnesses or charity drives,Other,4.0000
1650,270,head of the family,"my electronic items to be periodically noted, as it might cause injury to my family members","I can change it or service it at appropriate time, make things for safety",Safety,2.3333
1651,273,equipment serviceman,house equipment to automatically report malfunctions,repairs could be delivered quickly,Other,4.0000
1653,273,home occupant,"lights in the house to adjust to specific presets based on the time of day, outside illumination and activities taking place inside the house",I could conserve energy,Energy,4.3333
1654,274,home occupant,My Smart Home to turn on/offlights at selected time,it may appear I am home.,Safety,2.6667
1655,271,parent,"childrends bedroom that automatically plays and doesn't play soothing music depending on if child is or isn't asleep,",my child will fall asleep easier.,Health,3.5000
1656,259,home occupant,my medicine cabinet to show me which medicines and drugs should not be taken together or may have expired,I don't risk unwanted side effects or health complications,Health,4.3333
1657,273,home occupant,to be able to call the police by voice command,I could call help when i can't reach other means of communication,Safety,2.6667
1659,271,"tv fanatic,","house that records my favorite tv shows for me if I am not sitting on the couch,",I don't have to remember to schedule a recording.,Entertainment,3.0000
1660,271,home occupant,"a toilet that will use less or more water depending on if I go number 1 or number 2,",I can have a lower water bill.,Energy,3.5000
1661,273,home occupant,miniature robots to periodically vacuum the house,the house always stays clean and hypo-allergic,Health,4.5000
1663,273,home occupant,the home to dynamically adjust temperature of the ac system depending on occupants' presence in certain areas,the air temperature and humidity are always comfortable within the house,Energy,4.0000
1665,274,home occupant,my TV/audio system to play my favorite news programs in various media ,at desiginated times so I can stay informed & remember it in various ways.,Entertainment,3.3333
1666,273,home occupant,the windows in the kitchen have a transparent display for news and outside temperature,I could get an update on news and weather in the morning,Entertainment,4.0000
1667,273,home occupant,the smart home to call the police if there has been trespassing while the owners are not at home,the residence and possessions within it remain safe,Safety,4.3333
1668,274,"pet owner, home occupant",feature that will interect with my dog for an hour each day,so that my dog  will be  happy & engaged when I'm away from home.,Other,4.2500
1669,273,home occupant,the fridge to be able to automatically restock itself based on a pre-programmed schedule,I could always have a full stock of my favorite groceries,Other,3.0000
1670,271,owner of many devices,home that turn off a power outlet when it senses that a plugged in device is fully charged,I don't have to remember to unplug a fully charged device.,Energy,2.3333
1672,271,music fan,home that will auto cast music to different rooms when I go from one room to another,I can continue to enjoy my music while I move around my home,Entertainment,4.3333
1674,271,home owner,home that will notify me if the stove or oven is on with no one in the home,there will be no fire hazard,Safety,2.6667
1675,274,home occupant,my Smart House to bark loudly at randon times when I'm away,the neighbors/looters think I am inside,Safety,4.3333
1676,271,home owner,a mail box that will automatically lock itself after the mail has been deliver,my mail cannot be stolen,Safety,4.0000
1678,274,home occupant,My Smart Home to update me when asked about my energy consumption,benefit by knowing how I may change my usage.,Energy,3.6667
1679,274,home occupant,my Smart Home to have an excellent taste of music,may dance & be happy at home.,Entertainment,1.5000
1681,274,home occupant,my Smart Home to have many accents to talk to me in,"I may benefit from the presence of a Britt, Kiwi, or something just seductive",Other,5.0000
1682,276,pet owner,Alarm me whenever pets leave designated spot.,I know when my pet runs away.,Safety,3.3333
1683,276,home occupant,to know when there's water running,I can turn off water and save.,Safety,3.3333
1684,276,parent,an alarm system to alert everyone whenever it's time to eat,not inform everyone,Other,4.3333
1685,276,parent,to turn on and off electronics in the house,I can make sure when to conserve energy and make sure everyone goes to sleep on time.,Energy,2.3333
1686,276,home occupant,an alarm that will sound my room really loud,I can wake up on time regardless of how I feel,Entertainment,4.5000
1687,276,parent,a headcount of how many people come and leave the house.,I can keep up with the security in the house manually.,Safety,3.3333
1688,276,parent,to be notified when someone is somewhere in the house where they don't belong,I can protect certain belongings.,Safety,1.5000
1690,276,home occupant,a energy consumption detector,I can see whoever is using too much energy,Energy,2.5000
1691,276,parent,a voice detector for whenever someone screams for cry of help,I can alert the police or authority whenever I'm not at home.,Safety,3.3333
1692,279,tv show lover,my tv to send a notification to my phone to remind me when my favorite show are returning for a new season,i dont miss the first episode,Entertainment,2.6667
1693,279,parent,to know when my fridge is running low on everyday essentials by sending me a message to my phone,i know my family doesn't run out of food that they use daily,Other,4.3333
1694,279,parent,to know how long my air conditioners been running each day by sending me a message to my phone,i could keep my energy bill in check,Energy,2.6667
1697,279,parent,my to be notified when i have scheduled medication to take give the kids or myself when feeling sick,i dont forget to miss a dose and risk not feeling well longer,Health,3.6667
1698,279,music fan,my music device to notify me when my favorite artist release new music,i could keep up with their latest music and download it,Entertainment,4.0000
1699,279,parent,my smart home to notify me when my smart phone is full charged,i could remove it and not risk burning out the battery or wasting unnecessary energy ,Energy,2.6667
1700,279,home occupant,my laundry dryer to notify me when my clothes are dried even when it is still running,so i could remove them and not have to have the dryer running when it is not needed so i could save energy,Energy,2.3333
1701,280,home owner,my windows and doors to be locked in accordance with my (or family members) voice 'LOCK' and 'UNLOCK',my home can maintain privacy and safety,Safety,4.5000
1702,279,home occupant,to know how long my shower been running each day while my family and myself use it,i could save water and limit the usage and play my part in helping the environment,Other,4.0000
1704,280,home owner,a internet radio streaming live broadcasting world wide to play according to my voice,I can enjoy my favorite music and play,Entertainment,2.6667
1705,281,home occupant,an automatic shower,it comes on the same time I wake up so I can just walk in,Health,4.0000
1706,281,home occupant,automatic gas fireplace,I don't have to get up from the couch to turn it on,Energy,3.0000
1707,280,health advisor,"to show the food calories, vitamins etc in our family food taken",I am aware of correct nutrition level.,Health,3.3333
1708,281,home occupant,automatic stove,I can turn it on when I am at work,Energy,3.0000
1709,281,home occupant,an automatic clothes washer,"it can start on it's own, on a set schedule",Energy,4.5000
1710,280,pet lover,my pets to be watched over screen and to know the necessary foods available for them,I can keep them healthy,Health,3.0000
1712,281,home occupant,room senors,"the second I walk in the room, the lights and tv can come on and my laptop will boot up without doing anything",Energy,2.5000
1713,281,home occupant,automatic lawnmower,it can cut the grass itself without anyone doing it,Other,4.5000
1714,280,social worker,a bike which runs in herbs oil (not petrol/diesel),global-warming should be less and no co2,Energy,3.5000
1715,281,home occupant,automatic toaster,it can cook my toast before I wake up,Other,3.3333
1717,281,home occupant,automatic toiletseat,"once I walk up to it, the lid opens and when I am finished, the lid shuts and flushes by itself",Health,4.3333
1718,280,home occupant,my dirty clothes clean without water and detergent powder,water can be saved,Other,4.0000
1719,281,home occupant,automatic meat dicer,I don't have to cut the meat and do a lot of work in the kitchen,Other,4.0000
1721,281,home occupant,an automatic trash can,"once it's full, it will alert me and will tie the bag shut by itself",Other,4.6667
1724,280,home occupant,"my children away from water, pit, pesticide and other poisonous things",I am aware of  my children safety,Safety,3.6667
1729,280,home owner,my house lights and lamps got lighted from solar energy only without electricity,electricity can be saved,Energy,2.7500
1735,280,home owner,an object replaced by Fans to be produced (breezing ) cool natural fresh air,I can save electricity and to be healthy,Health,3.0000
